VM Name,Container,Protection Domain,Host Placement,Power State,Network adapters,IP Address(es),vCPUs,vRAM (GB),Disk Count,Provisioned Space (GB),Used Space (GB)
Avi-se-qcybo,CTR01,,NTNXKB-B,on,10,10.68.68.125/22,2,2,1,10,1
CONTMCWC001,CTR01,,NTNXKB-C,off,1,,2,2,2,40,39
CONTMAD202,CTR01,,NTNXKB-C,off,1,,2,2,4,60,39
NTNXMCSXA02,CTR01,,NTNXKB-A,on,1,"fe80::a862:470a:f032:820f/64,10.68.68.112/22",8,8,2,50,21
CONTMAppD001,CTR01,,NTNXKB-D,on,1,"fe80::e4ed:c26:da3d:860f/64,10.68.68.103/22",4,4,2,50,20
NTNXMCSXA22,CTR01,,NTNXKB-A,on,1,"fe80::555d:5301:c66c:7357/64,10.68.68.109/22",4,4,2,50,21
NTNXMCS002,CTR01,,NTNXKB-A,off,1,,2,2,2,40,4
CONTMCWCE001,CTR01,,NTNXKB-B,on,1,"fe80::5460:2704:a63b:8aa5/64,10.68.68.68/22",2,4,1,50,31
CONTLUNI003,CTR01,,NTNXKB-A,on,1,10.68.68.89/22,4,8,1,30,5
CONTLWPKB002,CTR01,,NTNXKB-A,on,1,"10.68.68.170/22,fe80::250:56ff:fe90:818a/64",2,4,2,40,8
CONTMLPC001,CTR01,,NTNXKB-C,on,1,"10.68.68.94/24,fe80::250:56ff:fe90:399d/64",4,12,3,570,236
CONTMPVS713,CTR01,,NTNXKB-D,on,1,"fe80::e8ff:9487:1ca7:3dc2/64,10.68.68.131/22",4,4,2,50,16
CONTCLNS001,CTR01,,NTNXKB-C,on,2,"10.68.250.21/24,fe80::250:56ff:fe90:4643/64",2,2,1,20,16
CONTLFND001,CTR01,,NTNXKB-A,on,1,,2,3,1,30,27
CONTVCSA002,CTR01,,NTNXKB-A,on,1,10.68.68.50/20,4,16,11,159,8
